CaseID,FirstName,LastName,Role
CIV-100000,Richard,Romero,Plaintiff
CIV-100000,Mark,Rivera,Defendant
CIV-100000,John,Smith,Judge
CIV-100001,William,Smith,Prosecutor
CIV-100001,Nicole,Huerta,Defendant
CIV-100001,Kimberly,Cox,Judge
CIV-100002,Michael,Jackson,Plaintiff
CIV-100002,Lisa,Sandoval,Defendant
CIV-100002,Raymond,Parker,Judge
CIV-100003,Gregg,Hall,Plaintiff
CIV-100003,Robert,Flores,Defendant
CIV-100003,Thomas,Bolton,Judge
CIV-100004,Bradley,Lawrence,Plaintiff
CIV-100004,Garrett,Richardson,Defendant
CIV-100004,Sarah,Wright,Judge
CIV-100005,Robert,Davis,Plaintiff
CIV-100005,Angela,Ponce,Defendant
CIV-100005,Michelle,Johnson,Judge
CIV-100006,Drew,Hayes,Plaintiff
CIV-100006,Amanda,Dean,Defendant
CIV-100006,Nicole,Scott,Judge
CIV-100007,Timothy,Bradley,Prosecutor
CIV-100007,Heather,Nguyen,Defendant
CIV-100007,Tanya,Gibbs,Judge
CIV-100008,Albert,Richardson,Plaintiff
CIV-100008,Lauren,Wheeler,Defendant
CIV-100008,Vanessa,Ho,Judge
CIV-100009,Rebecca,Porter,Prosecutor
CIV-100009,Katherine,Hicks,Defendant
CIV-100009,Richard,Brooks,Judge
CIV-100010,Kirsten,Hines,Plaintiff
CIV-100010,Alicia,Keller,Defendant
CIV-100010,James,Smith,Judge
CIV-100011,Gregory,Morales,Plaintiff
CIV-100011,Laura,Henry,Defendant
CIV-100011,Gerald,Parks,Judge
CIV-100012,Tammy,Johnson,Prosecutor
CIV-100012,Laurie,Davenport,Defendant
CIV-100012,Morgan,Molina,Judge
CIV-100013,Joshua,Wright,Prosecutor
CIV-100013,Logan,Bishop,Defendant
CIV-100013,Nicholas,Kidd,Judge
CIV-100014,Lauren,Davis,Plaintiff
CIV-100014,Kimberly,Frazier,Defendant
CIV-100014,Samantha,Snow,Judge
CIV-100015,Rhonda,Harvey,Plaintiff
CIV-100015,David,Hernandez,Defendant
CIV-100015,Lorraine,Jacobson,Judge
CIV-100016,Joshua,Hughes,Plaintiff
CIV-100016,Cindy,Thomas,Defendant
CIV-100016,Adam,Thomas,Judge
CIV-100017,Lauren,Miranda,Plaintiff
CIV-100017,Timothy,Mcdonald,Defendant
CIV-100017,Kaylee,Morgan,Judge
CIV-100018,Carol,Hanson,Plaintiff
CIV-100018,Karen,Carrillo,Defendant
CIV-100018,Kenneth,Hicks,Judge
CIV-100019,Michael,Davis,Prosecutor
CIV-100019,Maria,Cole,Defendant
CIV-100019,Maria,Pearson,Judge
CIV-100020,Wendy,Armstrong,Plaintiff
CIV-100020,Elizabeth,Daniel,Defendant
CIV-100020,Sarah,Shepherd,Judge
CIV-100021,Bill,Miranda,Plaintiff
CIV-100021,Alexandra,Smith,Defendant
CIV-100021,Renee,Rush,Judge
CIV-100022,Joe,Scott,Plaintiff
CIV-100022,Maria,Smith,Defendant
CIV-100022,Stephanie,Wilson,Judge
CIV-100023,Olivia,Rich,Prosecutor
CIV-100023,Amanda,Mendez,Defendant
CIV-100023,Juan,Watson,Judge
CIV-100024,Veronica,White,Plaintiff
CIV-100024,Priscilla,Lee,Defendant
CIV-100024,Alexander,Harrell,Judge
CIV-100025,Jessica,Harrington,Plaintiff
CIV-100025,Anthony,Rasmussen,Defendant
CIV-100025,Joshua,Hunter,Judge
CIV-100026,Tracy,Wallace,Prosecutor
CIV-100026,Amanda,Page,Defendant
CIV-100026,Mark,Cervantes,Judge
CIV-100027,Mindy,Simpson,Prosecutor
CIV-100027,Brian,Flores,Defendant
CIV-100027,Jacqueline,Browning,Judge
CIV-100028,Jonathan,Baker,Plaintiff
CIV-100028,Andrew,Waller,Defendant
CIV-100028,Karen,Ferrell,Judge
CIV-100029,Johnny,Becker,Plaintiff
CIV-100029,Keith,Brooks,Defendant
CIV-100029,Nicholas,Johnson,Judge
CIV-100030,Susan,Marks,Plaintiff
CIV-100030,Alicia,Rivera,Defendant
CIV-100030,Morgan,Dickson,Judge
CIV-100031,Mark,Gross,Plaintiff
CIV-100031,Ashley,Myers,Defendant
CIV-100031,Michael,Rivers,Judge
CIV-100032,Tiffany,Davenport,Plaintiff
CIV-100032,Lauren,Arroyo,Defendant
CIV-100032,Todd,Stewart,Judge
CIV-100033,Scott,Johnson,Plaintiff
CIV-100033,Sheila,Martin,Defendant
CIV-100033,Timothy,Scott,Judge
CIV-100034,Justin,Baker,Plaintiff
CIV-100034,Steven,Hooper,Defendant
CIV-100034,Jeanette,Mccullough,Judge
CIV-100035,Marvin,Howell,Plaintiff
CIV-100035,Stephanie,Gordon,Defendant
CIV-100035,Rodney,Palmer,Judge
CIV-100036,Natasha,Dawson,Plaintiff
CIV-100036,Nathan,Moore,Defendant
CIV-100036,Samantha,Smith,Judge
CIV-100037,Mark,Mcclain,Plaintiff
CIV-100037,Tyler,Berry,Defendant
CIV-100037,Kelly,Martinez,Judge
CIV-100038,Timothy,Brady,Plaintiff
CIV-100038,Michael,Walters,Defendant
CIV-100038,Patrick,Molina,Judge
CIV-100039,Antonio,Allen,Plaintiff
CIV-100039,James,Ramirez,Defendant
CIV-100039,Joshua,Sexton,Judge
CIV-100040,Taylor,Taylor,Plaintiff
CIV-100040,Lauren,Martin,Defendant
CIV-100040,Jill,Martin,Judge
CIV-100041,Dale,Miller,Prosecutor
CIV-100041,Terry,Davis,Defendant
CIV-100041,Daniel,Bates,Judge
CIV-100042,Kyle,Frazier,Plaintiff
CIV-100042,Carrie,Garcia,Defendant
CIV-100042,Jeffrey,Stone,Judge
CIV-100043,Thomas,Allison,Plaintiff
CIV-100043,Randall,Monroe,Defendant
CIV-100043,Kaitlyn,Hinton,Judge
CIV-100044,Donald,Bailey,Prosecutor
CIV-100044,George,Chavez,Defendant
CIV-100044,Mary,Collins,Judge
CIV-100045,Shelly,Compton,Plaintiff
CIV-100045,Heather,Caldwell,Defendant
CIV-100045,Virginia,Fleming,Judge
CIV-100046,Tyrone,Brown,Prosecutor
CIV-100046,Shane,Turner,Defendant
CIV-100046,Cindy,Smith,Judge
CIV-100047,Phillip,Anderson,Plaintiff
CIV-100047,Brandon,Martin,Defendant
CIV-100047,John,Allen,Judge
CIV-100048,Cynthia,Gould,Plaintiff
CIV-100048,David,Scott,Defendant
CIV-100048,Tracy,Nelson,Judge
CIV-100049,Danielle,Barrett,Plaintiff
CIV-100049,Megan,Payne,Defendant
CIV-100049,James,Livingston,Judge
CIV-100050,Cheryl,Stewart,Plaintiff
CIV-100050,Lisa,Torres,Defendant
CIV-100050,Stephanie,Obrien,Judge
CIV-100051,Christopher,Brown,Plaintiff
CIV-100051,Julia,Miller,Defendant
CIV-100051,Robin,Wells,Judge
CIV-100052,Lisa,Walker,Plaintiff
CIV-100052,Amy,Keller,Defendant
CIV-100052,William,Jensen,Judge
CIV-100053,Heidi,Scott,Plaintiff
CIV-100053,Shane,Farmer,Defendant
CIV-100053,Amber,Jones,Judge
CIV-100054,John,Strong,Plaintiff
CIV-100054,Ronald,Rodriguez,Defendant
CIV-100054,Katherine,Johnson,Judge
CIV-100055,Judith,Oconnor,Plaintiff
CIV-100055,Makayla,Patterson,Defendant
CIV-100055,Andrew,Wagner,Judge
CIV-100056,Wendy,Bullock,Prosecutor
CIV-100056,Brenda,Dorsey,Defendant
CIV-100056,Alice,Craig,Judge
CIV-100057,Michael,Franklin,Plaintiff
CIV-100057,Brandon,Mccoy,Defendant
CIV-100057,Donna,Carter,Judge
CIV-100058,Christopher,Harper,Prosecutor
CIV-100058,Kathleen,Ayala,Defendant
CIV-100058,Michael,Wright,Judge
CIV-100059,Brenda,Cook,Plaintiff
CIV-100059,Dawn,Davidson,Defendant
CIV-100059,Dennis,Davenport,Judge
CIV-100060,Adrian,West,Plaintiff
CIV-100060,Sharon,Richardson,Defendant
CIV-100060,Aaron,Murphy,Judge
CIV-100061,Kelsey,Jimenez,Plaintiff
CIV-100061,Edward,Vazquez,Defendant
CIV-100061,Megan,Williams,Judge
CIV-100062,Sandra,Hubbard,Plaintiff
CIV-100062,Laurie,Nichols,Defendant
CIV-100062,Gerald,Murphy,Judge
CIV-100063,Kelly,Mathis,Plaintiff
CIV-100063,Caitlin,Ruiz,Defendant
CIV-100063,Jonathan,Kelley,Judge
CIV-100064,Dennis,Cooper,Plaintiff
CIV-100064,Heidi,Cantrell,Defendant
CIV-100064,Marc,Lane,Judge
CIV-100065,Thomas,Barber,Plaintiff
CIV-100065,Nicholas,Bailey,Defendant
CIV-100065,Kimberly,Stevens,Judge
